ID,Üniversite,Yerleşke Adı,İl,Lat,Lng
1021-ahlat-meslek-yuksekokulu,"BİTLİS EREN ÜNİVERSİTESİ","AHLAT MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1021-guroymak-meslek-yuksekokulu,"BİTLİS EREN ÜNİVERSİTESİ","GÜROYMAK MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1021-hi-zan-meslek-yuksekokulu,"BİTLİS EREN ÜNİVERSİTESİ","HİZAN MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1021-organi-ze-sanayi-bolgesi-meslek-yuksekokulu,"BİTLİS EREN ÜNİVERSİTESİ","ORGANİZE SANAYİ BÖLGESİ MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1021-saglik-hi-zmetleri-meslek-yuksekokulu,"BİTLİS EREN ÜNİVERSİTESİ","SAĞLIK HİZMETLERİ MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1021-sosyal-bi-li-mler-meslek-yuksekokulu,"BİTLİS EREN ÜNİVERSİTESİ","SOSYAL BİLİMLER MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1021-tatvan-meslek-yuksekokulu,"BİTLİS EREN ÜNİVERSİTESİ","TATVAN MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1021-tekni-k-bi-li-mler-meslek-yuksekokulu,"BİTLİS EREN ÜNİVERSİTESİ","TEKNİK BİLİMLER MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1023-akdagmadeni-saglik-yuksekokulu,"BOZOK ÜNİVERSİTESİ","AKDAĞMADENİ SAĞLIK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1023-merkez-kampus,"BOZOK ÜNİVERSİTESİ","Merkez Kampüs","DEVLET ÜNIVERSITESI",,
1023-sarikaya-fi-zyoterapi-ve-rehabi-li-tasyon-yuksekokulu,"BOZOK ÜNİVERSİTESİ","SARIKAYA FİZYOTERAPİ VE REHABİLİTASYON YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1023-akdagmadeni-meslek-yuksekokulu,"BOZOK ÜNİVERSİTESİ","AKDAĞMADENİ MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1023-bogazliyan-meslek-yuksekokulu,"BOZOK ÜNİVERSİTESİ","BOĞAZLIYAN MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1023-cekerek-fuat-oktay-saglik-hi-zmetleri-meslek-yuksekokulu,"BOZOK ÜNİVERSİTESİ","ÇEKEREK FUAT OKTAY SAĞLIK HİZMETLERİ MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1023-saglik-hi-zmetleri-meslek-yuksekokulu,"BOZOK ÜNİVERSİTESİ","SAĞLIK HİZMETLERİ MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1023-sorgun-meslek-yuksekokulu,"BOZOK ÜNİVERSİTESİ","SORGUN MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1023-sefaatli-meslek-yuksekokulu,"BOZOK ÜNİVERSİTESİ","ŞEFAATLİ MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1023-yerkoy-meslek-yuksekokulu,"BOZOK ÜNİVERSİTESİ","YERKÖY MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1023-yozgat-meslek-yuksekokulu,"BOZOK ÜNİVERSİTESİ","YOZGAT MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1024-merkez-kampus,"BURSA TEKNİK ÜNİVERSİTESİ","Merkez Kampüs","DEVLET ÜNIVERSITESI",,
1025-merkez-kampus,"MANİSA CELÂL BAYAR ÜNİVERSİTESİ","Merkez Kampüs","DEVLET ÜNIVERSITESI",,
1025-egi-ti-m-fakultesi-demirci,"MANİSA CELÂL BAYAR ÜNİVERSİTESİ","EĞİTİM FAKÜLTESİ (Demirci)","DEVLET ÜNIVERSITESI",,
1025-tutun-eksperli-gi-yuksekokulu,"MANİSA CELÂL BAYAR ÜNİVERSİTESİ","TÜTÜN EKSPERLİĞİ YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1025-ahmetli-meslek-yuksekokulu,"MANİSA CELÂL BAYAR ÜNİVERSİTESİ","AHMETLİ MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1025-akhi-sar-meslek-yuksekokulu,"MANİSA CELÂL BAYAR ÜNİVERSİTESİ","AKHİSAR MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1025-alasehi-r-meslek-yuksekokulu,"MANİSA CELÂL BAYAR ÜNİVERSİTESİ","ALAŞEHİR MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1025-demi-rci-meslek-yuksekokulu,"MANİSA CELÂL BAYAR ÜNİVERSİTESİ","DEMİRCİ MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1025-gordes-meslek-yuksekokulu,"MANİSA CELÂL BAYAR ÜNİVERSİTESİ","GÖRDES MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1025-kirkagac-meslek-yuksekokulu,"MANİSA CELÂL BAYAR ÜNİVERSİTESİ","KIRKAĞAÇ MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1025-koprubasi-meslek-yuksekokulu,"MANİSA CELÂL BAYAR ÜNİVERSİTESİ","KÖPRÜBAŞI MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1025-kula-meslek-yuksekokulu,"MANİSA CELÂL BAYAR ÜNİVERSİTESİ","KULA MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1025-mani-sa-saglik-hi-zmetleri-meslek-yuksekokulu,"MANİSA CELÂL BAYAR ÜNİVERSİTESİ","MANİSA SAĞLIK HİZMETLERİ MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1025-mani-sa-tekni-k-bi-li-mler-meslek-yuksekokulu,"MANİSA CELÂL BAYAR ÜNİVERSİTESİ","MANİSA TEKNİK BİLİMLER MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1025-sarigol-meslek-yuksekokulu,"MANİSA CELÂL BAYAR ÜNİVERSİTESİ","SARIGÖL MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1025-saruhanli-meslek-yuksekokulu,"MANİSA CELÂL BAYAR ÜNİVERSİTESİ","SARUHANLI MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1026-merkez-kampus,"CUMHURİYET ÜNİVERSİTESİ","Merkez Kampüs","DEVLET ÜNIVERSITESI",,
1026-susehri-saglik-yuksekokulu,"CUMHURİYET ÜNİVERSİTESİ","SUŞEHRİ SAĞLIK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1026-sarkisla-uygulamali-bi-li-mler-yuksekokulu,"CUMHURİYET ÜNİVERSİTESİ","ŞARKIŞLA UYGULAMALI BİLİMLER YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1026-zara-veysel-dursun-uygulamali-bi-li-mler-yuksekokulu,"CUMHURİYET ÜNİVERSİTESİ","ZARA VEYSEL DURSUN UYGULAMALI BİLİMLER YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1026-di-vri-gi-nuri-demi-rag-meslek-yuksekokulu,"CUMHURİYET ÜNİVERSİTESİ","DİVRİĞİ NURİ DEMİRAĞ MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1026-gemerek-meslek-yuksekokulu,"CUMHURİYET ÜNİVERSİTESİ","GEMEREK MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1026-gurun-meslek-yuksekokulu,"CUMHURİYET ÜNİVERSİTESİ","GÜRÜN MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1026-hafi-k-kamer-ornek-meslek-yuksekokulu,"CUMHURİYET ÜNİVERSİTESİ","HAFİK KAMER ÖRNEK MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1026-i-mranli-meslek-yuksekokulu,"CUMHURİYET ÜNİVERSİTESİ","İMRANLI MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1026-kangal-meslek-yuksekokulu,"CUMHURİYET ÜNİVERSİTESİ","KANGAL MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1026-koyulhi-sar-meslek-yuksekokulu,"CUMHURİYET ÜNİVERSİTESİ","KOYULHİSAR MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1026-saglik-hi-zmetleri-meslek-yuksekokulu,"CUMHURİYET ÜNİVERSİTESİ","SAĞLIK HİZMETLERİ MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1026-susehri-ti-mur-karabal-meslek-yuksekokulu,"CUMHURİYET ÜNİVERSİTESİ","SUŞEHRİ TİMUR KARABAL MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1026-sarkisla-asik-veysel-meslek-yuksekokulu,"CUMHURİYET ÜNİVERSİTESİ","ŞARKIŞLA AŞIK VEYSEL MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1026-yildizeli-meslek-yuksekokulu,"CUMHURİYET ÜNİVERSİTESİ","YILDIZELİ MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1026-zara-ahmet-cuhadaroglu-meslek-yuksekokulu,"CUMHURİYET ÜNİVERSİTESİ","ZARA AHMET ÇUHADAROĞLU MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1027-merkez-kampus,"ÇANAKKALE ONSEKİZ MART ÜNİVERSİTESİ","Merkez Kampüs","DEVLET ÜNIVERSITESI",,
1027-gokceada-uygulamali-bi-li-mler-yuksekokulu,"ÇANAKKALE ONSEKİZ MART ÜNİVERSİTESİ","GÖKÇEADA UYGULAMALI BİLİMLER YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1027-ayvacik-meslek-yuksekokulu,"ÇANAKKALE ONSEKİZ MART ÜNİVERSİTESİ","AYVACIK MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1027-bayrami-c-meslek-yuksekokulu,"ÇANAKKALE ONSEKİZ MART ÜNİVERSİTESİ","BAYRAMİÇ MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1027-bi-ga-meslek-yuksekokulu,"ÇANAKKALE ONSEKİZ MART ÜNİVERSİTESİ","BİGA MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1027-can-meslek-yuksekokulu,"ÇANAKKALE ONSEKİZ MART ÜNİVERSİTESİ","ÇAN MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1027-canakkale-saglik-hi-zmetleri-meslek-yuksekokulu,"ÇANAKKALE ONSEKİZ MART ÜNİVERSİTESİ","ÇANAKKALE SAĞLIK HİZMETLERİ MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1027-canakkale-sosyal-bi-li-mler-meslek-yuksekokulu,"ÇANAKKALE ONSEKİZ MART ÜNİVERSİTESİ","ÇANAKKALE SOSYAL BİLİMLER MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1027-canakkale-tekni-k-bi-li-mler-meslek-yuksekokulu,"ÇANAKKALE ONSEKİZ MART ÜNİVERSİTESİ","ÇANAKKALE TEKNİK BİLİMLER MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1027-deni-zci-li-k-meslek-yuksekokulu,"ÇANAKKALE ONSEKİZ MART ÜNİVERSİTESİ","DENİZCİLİK MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1027-ezi-ne-gida-i-hti-sas-organi-ze-sanayi-bolgesi-meslek-yuksekokulu,"ÇANAKKALE ONSEKİZ MART ÜNİVERSİTESİ","EZİNE GIDA İHTİSAS ORGANİZE SANAYİ BÖLGESİ MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1027-geli-bolu-pi-ri-rei-s-meslek-yuksekokulu,"ÇANAKKALE ONSEKİZ MART ÜNİVERSİTESİ","GELİBOLU PİRİ REİS MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1027-gokceada-meslek-yuksekokulu,"ÇANAKKALE ONSEKİZ MART ÜNİVERSİTESİ","GÖKÇEADA MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1027-lapseki-meslek-yuksekokulu,"ÇANAKKALE ONSEKİZ MART ÜNİVERSİTESİ","LAPSEKİ MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1027-yeni-ce-meslek-yuksekokulu,"ÇANAKKALE ONSEKİZ MART ÜNİVERSİTESİ","YENİCE MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1028-merkez-kampus,"ÇANKIRI KARATEKİN ÜNİVERSİTESİ","Merkez Kampüs","DEVLET ÜNIVERSITESI",,
1028-turi-zm-fakultesi-ilgaz,"ÇANKIRI KARATEKİN ÜNİVERSİTESİ","TURİZM FAKÜLTESİ (Ilgaz)","DEVLET ÜNIVERSITESI",,
1028-cerkes-meslek-yuksekokulu,"ÇANKIRI KARATEKİN ÜNİVERSİTESİ","ÇERKEŞ MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1028-eldi-van-saglik-hi-zmetleri-meslek-yuksekokulu,"ÇANKIRI KARATEKİN ÜNİVERSİTESİ","ELDİVAN SAĞLIK HİZMETLERİ MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1028-gida-ve-tarim-meslek-yuksekokulu,"ÇANKIRI KARATEKİN ÜNİVERSİTESİ","GIDA VE TARIM MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1028-kursunlu-meslek-yuksekokulu,"ÇANKIRI KARATEKİN ÜNİVERSİTESİ","KURŞUNLU MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1028-sosyal-bi-li-mler-meslek-yuksekokulu,"ÇANKIRI KARATEKİN ÜNİVERSİTESİ","SOSYAL BİLİMLER MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1028-sabanozu-meslek-yuksekokulu,"ÇANKIRI KARATEKİN ÜNİVERSİTESİ","ŞABANÖZÜ MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1029-abdi-sutcu-saglik-hi-zmetleri-meslek-yuksekokulu,"ÇUKUROVA ÜNİVERSİTESİ","ABDİ SÜTCÜ SAĞLIK HİZMETLERİ MESLEK YÜKSEKOKULU","ADANA",,
1029-adana-organi-ze-sanayi-bolgesi-tekni-k-bi-li-mler-meslek-yuksekokulu,"ÇUKUROVA ÜNİVERSİTESİ","ADANA ORGANİZE SANAYİ BÖLGESİ TEKNİK BİLİMLER MESLEK YÜKSEKOKULU","ADANA",,
1029-aladag-meslek-yuksekokulu,"ÇUKUROVA ÜNİVERSİTESİ","ALADAĞ MESLEK YÜKSEKOKULU","ADANA",,
1029-ceyhan-meslek-yuksekokulu,"ÇUKUROVA ÜNİVERSİTESİ","CEYHAN MESLEK YÜKSEKOKULU","ADANA",,
1029-i-mamoglu-meslek-yuksekokulu,"ÇUKUROVA ÜNİVERSİTESİ","İMAMOĞLU MESLEK YÜKSEKOKULU","ADANA",,
1029-pozanti-meslek-yuksekokulu,"ÇUKUROVA ÜNİVERSİTESİ","POZANTI MESLEK YÜKSEKOKULU","ADANA",,
1029-tufanbeyli-meslek-yuksekokulu,"ÇUKUROVA ÜNİVERSİTESİ","TUFANBEYLİ MESLEK YÜKSEKOKULU","ADANA",,
1030-si-vi-l-havacilik-yuksekokulu,"DİCLE ÜNİVERSİTESİ","SİVİL HAVACILIK YÜKSEKOKULU","DİYARBAKIR",,
1030-ataturk-saglik-hi-zmetleri-meslek-yuksekokulu,"DİCLE ÜNİVERSİTESİ","ATATÜRK SAĞLIK HİZMETLERİ MESLEK YÜKSEKOKULU","DİYARBAKIR",,
1030-cermi-k-meslek-yuksekokulu,"DİCLE ÜNİVERSİTESİ","ÇERMİK MESLEK YÜKSEKOKULU","DİYARBAKIR",,
1030-di-yarbakir-tarim-meslek-yuksekokulu,"DİCLE ÜNİVERSİTESİ","DİYARBAKIR TARIM MESLEK YÜKSEKOKULU","DİYARBAKIR",,
1030-di-yarbakir-tekni-k-bi-li-mler-meslek-yuksekokulu,"DİCLE ÜNİVERSİTESİ","DİYARBAKIR TEKNİK BİLİMLER MESLEK YÜKSEKOKULU","DİYARBAKIR",,
1030-ergani-meslek-yuksekokulu,"DİCLE ÜNİVERSİTESİ","ERGANİ MESLEK YÜKSEKOKULU","DİYARBAKIR",,
1031-efes-meslek-yuksekokulu-selcuk,"DOKUZ EYLÜL ÜNİVERSİTESİ","EFES MESLEK YÜKSEKOKULU (Selçuk)","İZMİR",,
1031-ki-raz-meslek-yuksekokulu,"DOKUZ EYLÜL ÜNİVERSİTESİ","KİRAZ MESLEK YÜKSEKOKULU","İZMİR",,
1031-torbali-meslek-yuksekokulu,"DOKUZ EYLÜL ÜNİVERSİTESİ","TORBALI MESLEK YÜKSEKOKULU","İZMİR",,
1032-merkez-kampus,"DUMLUPINAR ÜNİVERSİTESİ","Merkez Kampüs","DEVLET ÜNIVERSITESI",,
1032-cavdarhi-sar-meslek-yuksekokulu,"DUMLUPINAR ÜNİVERSİTESİ","ÇAVDARHİSAR MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1032-domani-c-hayme-ana-meslek-yuksekokulu,"DUMLUPINAR ÜNİVERSİTESİ","DOMANİÇ HAYME ANA MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1032-gedi-z-meslek-yuksekokulu,"DUMLUPINAR ÜNİVERSİTESİ","GEDİZ MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1032-hi-sarcik-meslek-yuksekokulu,"DUMLUPINAR ÜNİVERSİTESİ","HİSARCIK MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1032-kutahya-guzel-sanatlar-meslek-yuksekokulu,"DUMLUPINAR ÜNİVERSİTESİ","KÜTAHYA GÜZEL SANATLAR MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1032-kutahya-sosyal-bi-li-mler-meslek-yuksekokulu,"DUMLUPINAR ÜNİVERSİTESİ","KÜTAHYA SOSYAL BİLİMLER MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1032-kutahya-tekni-k-bi-li-mler-meslek-yuksekokulu,"DUMLUPINAR ÜNİVERSİTESİ","KÜTAHYA TEKNİK BİLİMLER MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1032-pazarlar-meslek-yuksekokulu,"DUMLUPINAR ÜNİVERSİTESİ","PAZARLAR MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1032-si-mav-meslek-yuksekokulu,"DUMLUPINAR ÜNİVERSİTESİ","SİMAV MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1032-saphane-meslek-yuksekokulu,"DUMLUPINAR ÜNİVERSİTESİ","ŞAPHANE MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1032-tavsanli-meslek-yuksekokulu,"DUMLUPINAR ÜNİVERSİTESİ","TAVŞANLI MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1033-merkez-kampus,"DÜZCE ÜNİVERSİTESİ","Merkez Kampüs","DEVLET ÜNIVERSITESI",,
1033-akcakoca-meslek-yuksekokulu,"DÜZCE ÜNİVERSİTESİ","AKÇAKOCA MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1033-dr-engi-n-pak-cumayeri-meslek-yuksekokulu,"DÜZCE ÜNİVERSİTESİ","DR. ENGİN PAK CUMAYERİ MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1033-golyaka-meslek-yuksekokulu,"DÜZCE ÜNİVERSİTESİ","GÖLYAKA MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1033-gumusova-meslek-yuksekokulu,"DÜZCE ÜNİVERSİTESİ","GÜMÜŞOVA MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1033-kaynasli-meslek-yuksekokulu,"DÜZCE ÜNİVERSİTESİ","KAYNAŞLI MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1033-ormancilik-meslek-yuksekokulu,"DÜZCE ÜNİVERSİTESİ","ORMANCILIK MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1033-saglik-hi-zmetleri-meslek-yuksekokulu,"DÜZCE ÜNİVERSİTESİ","SAĞLIK HİZMETLERİ MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1033-sosyal-bi-li-mler-meslek-yuksekokulu,"DÜZCE ÜNİVERSİTESİ","SOSYAL BİLİMLER MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1034-ali-aga-meslek-yuksekokulu,"EGE ÜNİVERSİTESİ","ALİAĞA MESLEK YÜKSEKOKULU","İZMİR",,
1034-ataturk-saglik-hi-zmetleri-meslek-yuksekokulu,"EGE ÜNİVERSİTESİ","ATATÜRK SAĞLIK HİZMETLERİ MESLEK YÜKSEKOKULU","İZMİR",,
1034-bayindir-meslek-yuksekokulu,"EGE ÜNİVERSİTESİ","BAYINDIR MESLEK YÜKSEKOKULU","İZMİR",,
1034-bergama-meslek-yuksekokulu,"EGE ÜNİVERSİTESİ","BERGAMA MESLEK YÜKSEKOKULU","İZMİR",,
1034-si-ber-guvenli-k-meslek-yuksekokulu,"EGE ÜNİVERSİTESİ","SİBER GÜVENLİK MESLEK YÜKSEKOKULU","İZMİR",,
1034-ti-re-kutsan-meslek-yuksekokulu,"EGE ÜNİVERSİTESİ","TİRE KUTSAN MESLEK YÜKSEKOKULU","İZMİR",,
1035-hali-l-bayraktar-saglik-hi-zmetleri-meslek-yuksekokulu,"ERCİYES ÜNİVERSİTESİ","HALİL BAYRAKTAR SAĞLIK HİZMETLERİ MESLEK YÜKSEKOKULU","KAYSERİ",,
1036-ali-cavi-t-celebi-oglu-si-vi-l-havacilik-yuksekokulu,"ERZİNCAN BİNALİ YILDIRIM ÜNİVERSİTESİ","ALİ CAVİT ÇELEBİOĞLU SİVİL HAVACILIK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1036-merkez-kampus,"ERZİNCAN BİNALİ YILDIRIM ÜNİVERSİTESİ","Merkez Kampüs","DEVLET ÜNIVERSITESI",,
1036-kemali-ye-haci-ali-akin-uygulamali-bi-li-mler-yuksekokulu,"ERZİNCAN BİNALİ YILDIRIM ÜNİVERSİTESİ","KEMALİYE HACI ALİ AKIN UYGULAMALI BİLİMLER YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1036-cayirli-meslek-yuksekokulu,"ERZİNCAN BİNALİ YILDIRIM ÜNİVERSİTESİ","ÇAYIRLI MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1036-i-li-c-dursun-yildirim-meslek-yuksekokulu,"ERZİNCAN BİNALİ YILDIRIM ÜNİVERSİTESİ","İLİÇ DURSUN YILDIRIM MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1036-kemah-meslek-yuksekokulu,"ERZİNCAN BİNALİ YILDIRIM ÜNİVERSİTESİ","KEMAH MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1036-kemali-ye-haci-ali-akin-meslek-yuksekokulu,"ERZİNCAN BİNALİ YILDIRIM ÜNİVERSİTESİ","KEMALİYE HACI ALİ AKIN MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1036-meslek-yuksekokulu,"ERZİNCAN BİNALİ YILDIRIM ÜNİVERSİTESİ","MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1036-refahi-ye-bahar-yildirim-saglik-hi-zmetleri-meslek-yuksekokulu,"ERZİNCAN BİNALİ YILDIRIM ÜNİVERSİTESİ","REFAHİYE BAHAR YILDIRIM SAĞLIK HİZMETLERİ MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1036-refahi-ye-meslek-yuksekokulu,"ERZİNCAN BİNALİ YILDIRIM ÜNİVERSİTESİ","REFAHİYE MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1036-saglik-hi-zmetleri-meslek-yuksekokulu,"ERZİNCAN BİNALİ YILDIRIM ÜNİVERSİTESİ","SAĞLIK HİZMETLERİ MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1036-tercan-meslek-yuksekokulu,"ERZİNCAN BİNALİ YILDIRIM ÜNİVERSİTESİ","TERCAN MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1036-turi-zm-ve-otelci-li-k-meslek-yuksekokulu,"ERZİNCAN BİNALİ YILDIRIM ÜNİVERSİTESİ","TURİZM VE OTELCİLİK MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1036-uzumlu-meslek-yuksekokulu,"ERZİNCAN BİNALİ YILDIRIM ÜNİVERSİTESİ","ÜZÜMLÜ MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1037-merkez-kampus,"ERZURUM TEKNİK ÜNİVERSİTESİ","Merkez Kampüs","DEVLET ÜNIVERSITESI",,
1038-merkez-kampus,"ESKİŞEHİR OSMANGAZİ ÜNİVERSİTESİ","Merkez Kampüs","DEVLET ÜNIVERSITESI",,
1038-eski-sehi-r-meslek-yuksekokulu,"ESKİŞEHİR OSMANGAZİ ÜNİVERSİTESİ","ESKİŞEHİR MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1038-mahmudi-ye-atcilik-meslek-yuksekokulu,"ESKİŞEHİR OSMANGAZİ ÜNİVERSİTESİ","MAHMUDİYE ATÇILIK MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1038-saglik-hi-zmetleri-meslek-yuksekokulu,"ESKİŞEHİR OSMANGAZİ ÜNİVERSİTESİ","SAĞLIK HİZMETLERİ MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1038-si-vri-hi-sar-meslek-yuksekokulu,"ESKİŞEHİR OSMANGAZİ ÜNİVERSİTESİ","SİVRİHİSAR MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1039-si-vi-l-havacilik-yuksekokulu,"FIRAT ÜNİVERSİTESİ","SİVİL HAVACILIK YÜKSEKOKULU","ELAZIĞ",,
1039-baski-l-meslek-yuksekokulu,"FIRAT ÜNİVERSİTESİ","BASKİL MESLEK YÜKSEKOKULU","ELAZIĞ",,
1039-elazig-organi-ze-sanayi-bolgesi-meslek-yuksekokulu,"FIRAT ÜNİVERSİTESİ","ELAZIĞ ORGANİZE SANAYİ BÖLGESİ MESLEK YÜKSEKOKULU","ELAZIĞ",,
1039-karakocan-meslek-yuksekokulu,"FIRAT ÜNİVERSİTESİ","KARAKOÇAN MESLEK YÜKSEKOKULU","ELAZIĞ",,
1039-kovancilar-meslek-yuksekokulu,"FIRAT ÜNİVERSİTESİ","KOVANCILAR MESLEK YÜKSEKOKULU","ELAZIĞ",,
1039-saglik-hi-zmetleri-meslek-yuksekokulu,"FIRAT ÜNİVERSİTESİ","SAĞLIK HİZMETLERİ MESLEK YÜKSEKOKULU","ELAZIĞ",,
1039-si-vri-ce-meslek-yuksekokulu,"FIRAT ÜNİVERSİTESİ","SİVRİCE MESLEK YÜKSEKOKULU","ELAZIĞ",,
